Gene1	Gene2	Status	Description
G55	G1458	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G86	G3325	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G223	G1897	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G192	G1146	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G189	G4134	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G2073	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G219	G1415	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G86	G632	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G58	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G192	G3739	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G392	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G2574	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G281	G3274	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G4411	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G3031	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G192	G2666	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G3662	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G2782	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G847	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G23	G3129	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G1395	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G1802	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G330	G1387	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G281	G1119	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G192	G1505	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G183	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G2141	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G2806	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G4083	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G152	G2258	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G235	G2741	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G86	G150	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G4322	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G3321	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G351	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G244	G593	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G3584	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G120	G418	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G303	G1290	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G236	G2319	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G192	G4245	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G3785	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G3629	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G305	G2983	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G281	G1250	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G116	G4206	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G3	G1198	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G140	G4434	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G199	G4143	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G1029	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G1371	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G992	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G244	G2394	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G3307	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G138	G2668	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G247	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G86	G3262	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G1355	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G166	G3266	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G224	G1485	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G3447	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G4100	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G204	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G210	G2768	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G23	G55	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G110	G2074	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G11	G2313	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G13	G1434	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G197	G3595	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G2701	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G1051	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G84	G700	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G74	G1719	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G2668	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G684	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G2	G2626	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G4300	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G274	G1566	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G260	G3233	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G309	G4317	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G283	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G144	G587	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G220	G3360	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G197	G1427	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G192	G1693	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G255	G2730	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G332	G3423	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G313	G3831	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G313	G4447	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G66	G2316	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G281	G1878	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G51	G4191	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G235	G3245	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G3785	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G254	G259	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G3158	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G313	G702	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G4058	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G2758	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G199	G4400	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G3336	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G235	G3329	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G3650	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G4286	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G282	G2446	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G313	G2763	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G3399	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G313	G488	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G23	G4411	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G313	G3099	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G2995	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G99	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G219	G3161	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G140	G1985	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G3739	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G4125	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G4149	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G4275	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G3369	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G189	G4047	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G1792	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G207	G3951	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G258	G3317	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G2666	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G86	G3976	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G110	G2293	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G260	G3896	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G172	G2605	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G952	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G128	G2157	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G175	G2393	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G684	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G1290	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G1505	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G188	G1119	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G282	G4266	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G1693	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G110	G911	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G178	G4101	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G3812	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G4303	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G73	G4404	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G138	G3678	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G2965	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G4245	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G23	G1662	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G2394	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G192	G3256	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G305	G2228	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G23	G992	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G2479	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G23	G3330	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G539	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G313	G4020	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G172	G2058	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G281	G2217	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G3	G3990	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G282	G3080	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G3	G204	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G99	G1830	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G199	G519	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G315	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G2242	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G4	G907	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G258	G1987	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G3155	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G244	G3754	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G2317	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G89	G519	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G989	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G3356	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G86	G2244	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G74	G4270	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G281	G4329	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G2666	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G3369	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G1221	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G25	G1324	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G3	G4300	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G255	G1846	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G264	G1952	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G887	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G23	G2844	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G197	G3142	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G86	G3972	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G192	G925	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G281	G1839	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G244	G2225	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G101	G1538	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G4174	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G1505	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G23	G3303	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G107	G3730	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G260	G2916	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G219	G329	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G3437	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G1693	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G282	G1464	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G11	G2615	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G23	G2117	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G258	G2389	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G313	G1653	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G313	G4415	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G3718	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G2316	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G2516	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G4245	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G99	G3727	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G116	G678	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G282	G3221	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G220	G3047	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G170	G1963	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G86	G3700	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G170	G1156	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G1212	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G208	G2327	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G281	G2117	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G23	G4125	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G3861	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G69	G3459	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G3681	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G23	G876	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G23	G4098	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G110	G4119	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G244	G1404	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G99	G4057	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G260	G691	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G110	G1415	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G138	G1949	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G305	G2265	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G1996	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G1767	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G199	G3755	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G244	G4107	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G3108	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G86	G1216	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G224	G3755	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G281	G876	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G56	G1532	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G258	G579	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G73	G1932	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G169	G3729	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G277	G3519	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G313	G1950	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G1693	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G23	G2682	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G220	G4125	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G116	G3610	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G2303	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G220	G876	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G2784	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G1394	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G44	G160	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G342	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G23	G3638	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G309	G1654	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G10	G1775	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G3754	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G192	G4063	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G1532	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G259	G2314	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G192	G2043	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G3256	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G244	G1893	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G179	G3755	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G2761	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G2775	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G161	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G23	G3682	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G69	G2024	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G73	G201	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G138	G991	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G89	G796	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G140	G4395	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G175	G3568	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G260	G2121	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G305	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G86	G2809	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G192	G2825	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G1420	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G3861	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G2641	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G282	G1114	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G2264	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G2575	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G151	G3656	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G192	G3012	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G223	G3813	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G192	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G313	G2404	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G2505	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G3650	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G281	G2783	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G2225	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G73	G490	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G1557	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G23	G887	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G23	G3310	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G205	G2424	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G140	G518	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G220	G2758	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G175	G1973	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G188	G2821	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G3205	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G260	G3470	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G23	G113	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G199	G657	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G285	G3870	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G4	G1034	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G169	G1838	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G281	G4333	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G593	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G23	G2516	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G23	G4245	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G140	G4111	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G328	G1512	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G145	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G192	G769	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G2795	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G3367	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G4344	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G166	G495	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G192	G1539	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G10	G3688	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G340	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G259	G3813	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G3256	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G3994	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G235	G1230	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G1404	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G313	G4417	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G31	G2234	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G1250	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G164	G896	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G4469	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G192	G3432	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G86	G558	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G23	G3769	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G3879	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G199	G1545	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G2805	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G220	G4245	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G223	G4361	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G224	G1545	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G235	G3399	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G255	G678	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G330	G3523	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G2500	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G3184	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G110	G3161	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G223	G1993	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G244	G2217	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G120	G4276	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G2855	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G210	G1266	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G2834	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G282	G3951	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G343	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G244	G4329	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G281	G3676	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G179	G1545	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G125	G189	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G223	G813	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G492	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G769	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G220	G2249	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G147	G3036	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G11	G2592	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G145	G937	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G66	G2795	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G23	G4029	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G96	G219	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G3718	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G89	G210	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G3537	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G281	G2629	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G4063	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G140	G1000	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G2043	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G210	G1246	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G3	G2505	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G2581	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G303	G3954	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G73	G2884	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G170	G3175	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G313	G316	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G58	G2966	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G4	G3044	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G56	G1034	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G152	G4422	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G205	G673	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G2258	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G152	G3460	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G255	G3610	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G219	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G2265	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G2968	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G2991	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G3012	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G313	G2317	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G188	G254	True Positive	Interação predita pelo SCENIC+ que está no gold standard
