	cell_id	n_peaks	total_peaks
Cell_0775	Cell_0775	469	469
Cell_0776	Cell_0776	506	506
Cell_0777	Cell_0777	465	465
Cell_0778	Cell_0778	464	464
Cell_0779	Cell_0779	477	477
Cell_0780	Cell_0780	478	478
Cell_0781	Cell_0781	485	485
Cell_0782	Cell_0782	464	464
Cell_0783	Cell_0783	461	461
Cell_0784	Cell_0784	512	512
Cell_0785	Cell_0785	428	428
Cell_0786	Cell_0786	505	505
Cell_0787	Cell_0787	515	515
Cell_0788	Cell_0788	475	475
Cell_0789	Cell_0789	500	500
Cell_0790	Cell_0790	473	473
Cell_0791	Cell_0791	457	457
Cell_0792	Cell_0792	460	460
Cell_0793	Cell_0793	487	487
Cell_0794	Cell_0794	454	454
Cell_0795	Cell_0795	490	490
Cell_0796	Cell_0796	491	491
Cell_0797	Cell_0797	472	472
Cell_0798	Cell_0798	457	457
Cell_0799	Cell_0799	480	480
Cell_0800	Cell_0800	461	461
Cell_0801	Cell_0801	480	480
Cell_0802	Cell_0802	472	472
Cell_0803	Cell_0803	505	505
Cell_0804	Cell_0804	494	494
Cell_0805	Cell_0805	471	471
Cell_0806	Cell_0806	447	447
Cell_0807	Cell_0807	443	443
Cell_0808	Cell_0808	485	485
Cell_0809	Cell_0809	458	458
Cell_0810	Cell_0810	454	454
Cell_0811	Cell_0811	471	471
Cell_0812	Cell_0812	458	458
Cell_0813	Cell_0813	498	498
Cell_0814	Cell_0814	490	490
Cell_0815	Cell_0815	476	476
Cell_0816	Cell_0816	458	458
Cell_0817	Cell_0817	431	431
Cell_0818	Cell_0818	479	479
Cell_0819	Cell_0819	435	435
Cell_0820	Cell_0820	451	451
Cell_0821	Cell_0821	436	436
Cell_0822	Cell_0822	434	434
Cell_0823	Cell_0823	463	463
Cell_0824	Cell_0824	461	461
Cell_0825	Cell_0825	470	470
Cell_0826	Cell_0826	461	461
Cell_0827	Cell_0827	460	460
Cell_0828	Cell_0828	452	452
Cell_0829	Cell_0829	444	444
Cell_0830	Cell_0830	446	446
Cell_0831	Cell_0831	452	452
Cell_0832	Cell_0832	453	453
Cell_0833	Cell_0833	473	473
Cell_0834	Cell_0834	430	430
Cell_0835	Cell_0835	452	452
Cell_0836	Cell_0836	440	440
Cell_0837	Cell_0837	479	479
Cell_0838	Cell_0838	442	442
Cell_0839	Cell_0839	415	415
Cell_0840	Cell_0840	483	483
Cell_0841	Cell_0841	479	479
Cell_0842	Cell_0842	475	475
Cell_0843	Cell_0843	490	490
Cell_0844	Cell_0844	511	511
Cell_0845	Cell_0845	490	490
Cell_0846	Cell_0846	446	446
Cell_0847	Cell_0847	456	456
Cell_0848	Cell_0848	481	481
Cell_0849	Cell_0849	460	460
Cell_0850	Cell_0850	458	458
Cell_0851	Cell_0851	431	431
Cell_0852	Cell_0852	473	473
Cell_0853	Cell_0853	484	484
Cell_0854	Cell_0854	477	477
Cell_0855	Cell_0855	458	458
Cell_0856	Cell_0856	462	462
Cell_0857	Cell_0857	517	517
Cell_0858	Cell_0858	487	487
Cell_0859	Cell_0859	479	479
Cell_0860	Cell_0860	460	460
Cell_0861	Cell_0861	473	473
Cell_0862	Cell_0862	458	458
Cell_0863	Cell_0863	477	477
Cell_0864	Cell_0864	448	448
Cell_0865	Cell_0865	477	477
Cell_0866	Cell_0866	457	457
Cell_0867	Cell_0867	485	485
Cell_0868	Cell_0868	453	453
Cell_0869	Cell_0869	488	488
Cell_0870	Cell_0870	456	456
Cell_0871	Cell_0871	456	456
Cell_0872	Cell_0872	445	445
Cell_0873	Cell_0873	473	473
Cell_0874	Cell_0874	442	442
Cell_0875	Cell_0875	482	482
Cell_0876	Cell_0876	491	491
Cell_0877	Cell_0877	492	492
Cell_0878	Cell_0878	461	461
Cell_0879	Cell_0879	489	489
Cell_0880	Cell_0880	447	447
Cell_0881	Cell_0881	484	484
Cell_0882	Cell_0882	464	464
Cell_0883	Cell_0883	490	490
Cell_0884	Cell_0884	441	441
Cell_0885	Cell_0885	471	471
Cell_0886	Cell_0886	480	480
Cell_0887	Cell_0887	460	460
Cell_0888	Cell_0888	492	492
Cell_0889	Cell_0889	457	457
Cell_0890	Cell_0890	465	465
Cell_0891	Cell_0891	469	469
Cell_0892	Cell_0892	490	490
Cell_0893	Cell_0893	455	455
Cell_0894	Cell_0894	464	464
Cell_0895	Cell_0895	486	486
Cell_0896	Cell_0896	471	471
Cell_0897	Cell_0897	472	472
Cell_0898	Cell_0898	477	477
Cell_0899	Cell_0899	499	499
Cell_0900	Cell_0900	484	484
Cell_0901	Cell_0901	439	439
Cell_0902	Cell_0902	485	485
Cell_0903	Cell_0903	451	451
Cell_0904	Cell_0904	462	462
Cell_0905	Cell_0905	495	495
Cell_0906	Cell_0906	490	490
Cell_0907	Cell_0907	447	447
Cell_0908	Cell_0908	473	473
Cell_0909	Cell_0909	456	456
Cell_0910	Cell_0910	465	465
Cell_0911	Cell_0911	452	452
Cell_0912	Cell_0912	477	477
Cell_0913	Cell_0913	484	484
Cell_0914	Cell_0914	474	474
Cell_0915	Cell_0915	461	461
Cell_0916	Cell_0916	467	467
Cell_0917	Cell_0917	450	450
Cell_0918	Cell_0918	492	492
Cell_0919	Cell_0919	469	469
Cell_0920	Cell_0920	458	458
Cell_0921	Cell_0921	471	471
Cell_0922	Cell_0922	429	429
Cell_0923	Cell_0923	466	466
Cell_0924	Cell_0924	472	472
Cell_0925	Cell_0925	487	487
Cell_0926	Cell_0926	455	455
Cell_0927	Cell_0927	461	461
Cell_0928	Cell_0928	455	455
Cell_0929	Cell_0929	497	497
Cell_0930	Cell_0930	435	435
Cell_0931	Cell_0931	480	480
Cell_0932	Cell_0932	450	450
Cell_0933	Cell_0933	444	444
Cell_0934	Cell_0934	466	466
Cell_0935	Cell_0935	491	491
Cell_0936	Cell_0936	456	456
Cell_0937	Cell_0937	481	481
Cell_0938	Cell_0938	437	437
Cell_0939	Cell_0939	466	466
Cell_0940	Cell_0940	482	482
Cell_0941	Cell_0941	457	457
Cell_0942	Cell_0942	407	407
Cell_0943	Cell_0943	489	489
Cell_0944	Cell_0944	440	440
Cell_0945	Cell_0945	450	450
Cell_0946	Cell_0946	444	444
Cell_0947	Cell_0947	478	478
Cell_0948	Cell_0948	455	455
Cell_0949	Cell_0949	454	454
Cell_0950	Cell_0950	440	440
Cell_0951	Cell_0951	453	453
Cell_0952	Cell_0952	485	485
Cell_0953	Cell_0953	464	464
Cell_0954	Cell_0954	461	461
Cell_0955	Cell_0955	465	465
Cell_0956	Cell_0956	500	500
Cell_0957	Cell_0957	443	443
Cell_0958	Cell_0958	470	470
Cell_0959	Cell_0959	505	505
Cell_0960	Cell_0960	469	469
Cell_0961	Cell_0961	480	480
Cell_0962	Cell_0962	469	469
Cell_0963	Cell_0963	461	461
Cell_0964	Cell_0964	462	462
Cell_0965	Cell_0965	475	475
Cell_0966	Cell_0966	504	504
Cell_0967	Cell_0967	453	453
Cell_0968	Cell_0968	440	440
Cell_0969	Cell_0969	482	482
Cell_0970	Cell_0970	460	460
Cell_0971	Cell_0971	452	452
Cell_0972	Cell_0972	459	459
Cell_0973	Cell_0973	491	491
Cell_0974	Cell_0974	466	466
Cell_0975	Cell_0975	466	466
Cell_0976	Cell_0976	452	452
Cell_0977	Cell_0977	462	462
Cell_0978	Cell_0978	482	482
Cell_0979	Cell_0979	442	442
Cell_0980	Cell_0980	472	472
Cell_0981	Cell_0981	448	448
Cell_0982	Cell_0982	460	460
Cell_0983	Cell_0983	495	495
Cell_0984	Cell_0984	461	461
Cell_0985	Cell_0985	488	488
Cell_0986	Cell_0986	463	463
Cell_0987	Cell_0987	478	478
Cell_0988	Cell_0988	450	450
Cell_0989	Cell_0989	467	467
Cell_0990	Cell_0990	457	457
Cell_0991	Cell_0991	487	487
Cell_0992	Cell_0992	469	469
Cell_0993	Cell_0993	469	469
Cell_0994	Cell_0994	418	418
Cell_0995	Cell_0995	470	470
Cell_0996	Cell_0996	446	446
Cell_0997	Cell_0997	504	504
Cell_0998	Cell_0998	469	469
Cell_0999	Cell_0999	447	447
Cell_1000	Cell_1000	466	466
Cell_1001	Cell_1001	491	491
Cell_1002	Cell_1002	470	470
Cell_1003	Cell_1003	497	497
Cell_1004	Cell_1004	456	456
Cell_1005	Cell_1005	497	497
Cell_1006	Cell_1006	467	467
Cell_1007	Cell_1007	479	479
Cell_1008	Cell_1008	478	478
Cell_1009	Cell_1009	455	455
Cell_1010	Cell_1010	483	483
Cell_1011	Cell_1011	472	472
Cell_1012	Cell_1012	446	446
Cell_1013	Cell_1013	488	488
Cell_1014	Cell_1014	505	505
Cell_1015	Cell_1015	489	489
Cell_1016	Cell_1016	474	474
Cell_1017	Cell_1017	482	482
Cell_1018	Cell_1018	469	469
Cell_1019	Cell_1019	436	436
Cell_1020	Cell_1020	456	456
Cell_1021	Cell_1021	474	474
Cell_1022	Cell_1022	467	467
Cell_1023	Cell_1023	453	453
Cell_1024	Cell_1024	445	445
Cell_1025	Cell_1025	497	497
Cell_1026	Cell_1026	481	481
Cell_1027	Cell_1027	435	435
Cell_1028	Cell_1028	452	452
Cell_1029	Cell_1029	474	474
Cell_1030	Cell_1030	483	483
Cell_1031	Cell_1031	444	444
Cell_1032	Cell_1032	477	477
Cell_1033	Cell_1033	480	480
Cell_1034	Cell_1034	453	453
Cell_1035	Cell_1035	485	485
Cell_1036	Cell_1036	443	443
Cell_1037	Cell_1037	451	451
Cell_1038	Cell_1038	461	461
Cell_1039	Cell_1039	474	474
Cell_1040	Cell_1040	458	458
Cell_1041	Cell_1041	452	452
Cell_1042	Cell_1042	483	483
Cell_1043	Cell_1043	454	454
Cell_1044	Cell_1044	457	457
Cell_1045	Cell_1045	444	444
Cell_1046	Cell_1046	473	473
Cell_1047	Cell_1047	482	482
Cell_1048	Cell_1048	462	462
Cell_1049	Cell_1049	430	430
Cell_1050	Cell_1050	476	476
Cell_1051	Cell_1051	459	459
Cell_1052	Cell_1052	461	461
Cell_1053	Cell_1053	445	445
Cell_1054	Cell_1054	468	468
Cell_1055	Cell_1055	458	458
Cell_1056	Cell_1056	482	482
Cell_1057	Cell_1057	454	454
Cell_1058	Cell_1058	483	483
Cell_1059	Cell_1059	474	474
Cell_1060	Cell_1060	476	476
Cell_1061	Cell_1061	486	486
Cell_1062	Cell_1062	482	482
Cell_1063	Cell_1063	457	457
Cell_1064	Cell_1064	458	458
Cell_1065	Cell_1065	470	470
Cell_1066	Cell_1066	473	473
Cell_1067	Cell_1067	488	488
Cell_1068	Cell_1068	470	470
Cell_1069	Cell_1069	482	482
Cell_1070	Cell_1070	444	444
Cell_1071	Cell_1071	446	446
Cell_1072	Cell_1072	444	444
Cell_1073	Cell_1073	483	483
Cell_1074	Cell_1074	469	469
Cell_1075	Cell_1075	461	461
Cell_1076	Cell_1076	495	495
Cell_1077	Cell_1077	486	486
Cell_1078	Cell_1078	458	458
Cell_1079	Cell_1079	446	446
Cell_1080	Cell_1080	449	449
Cell_1081	Cell_1081	438	438
Cell_1082	Cell_1082	452	452
Cell_1083	Cell_1083	442	442
Cell_1084	Cell_1084	472	472
Cell_1085	Cell_1085	469	469
Cell_1086	Cell_1086	461	461
Cell_1087	Cell_1087	455	455
Cell_1088	Cell_1088	487	487
Cell_1089	Cell_1089	417	417
Cell_1090	Cell_1090	476	476
Cell_1091	Cell_1091	500	500
Cell_1092	Cell_1092	449	449
Cell_1093	Cell_1093	452	452
Cell_1094	Cell_1094	475	475
Cell_1095	Cell_1095	496	496
Cell_1096	Cell_1096	458	458
Cell_1097	Cell_1097	457	457
Cell_1098	Cell_1098	471	471
Cell_1099	Cell_1099	449	449
Cell_1100	Cell_1100	494	494
Cell_1101	Cell_1101	435	435
Cell_1102	Cell_1102	459	459
Cell_1103	Cell_1103	452	452
Cell_1104	Cell_1104	478	478
Cell_1105	Cell_1105	463	463
Cell_1106	Cell_1106	473	473
Cell_1107	Cell_1107	432	432
Cell_1108	Cell_1108	475	475
Cell_1109	Cell_1109	458	458
Cell_1110	Cell_1110	493	493
Cell_1111	Cell_1111	443	443
Cell_1112	Cell_1112	475	475
Cell_1113	Cell_1113	483	483
Cell_1114	Cell_1114	447	447
Cell_1115	Cell_1115	464	464
Cell_1116	Cell_1116	457	457
Cell_1117	Cell_1117	475	475
Cell_1118	Cell_1118	464	464
Cell_1119	Cell_1119	489	489
Cell_1120	Cell_1120	456	456
Cell_1121	Cell_1121	487	487
Cell_1122	Cell_1122	460	460
Cell_1123	Cell_1123	484	484
Cell_1124	Cell_1124	479	479
Cell_1125	Cell_1125	498	498
Cell_1126	Cell_1126	463	463
Cell_1127	Cell_1127	481	481
Cell_1128	Cell_1128	438	438
Cell_1129	Cell_1129	486	486
Cell_1130	Cell_1130	470	470
Cell_1131	Cell_1131	486	486
Cell_1132	Cell_1132	474	474
Cell_1133	Cell_1133	471	471
Cell_1134	Cell_1134	489	489
Cell_1135	Cell_1135	449	449
Cell_1136	Cell_1136	467	467
Cell_1137	Cell_1137	485	485
Cell_1138	Cell_1138	445	445
Cell_1139	Cell_1139	474	474
Cell_1140	Cell_1140	429	429
Cell_1141	Cell_1141	480	480
Cell_1142	Cell_1142	439	439
Cell_1143	Cell_1143	441	441
Cell_1144	Cell_1144	452	452
Cell_1145	Cell_1145	469	469
Cell_1146	Cell_1146	461	461
Cell_1147	Cell_1147	428	428
Cell_1148	Cell_1148	456	456
Cell_1149	Cell_1149	471	471
Cell_1150	Cell_1150	491	491
Cell_1151	Cell_1151	454	454
Cell_1152	Cell_1152	450	450
Cell_1153	Cell_1153	462	462
Cell_1154	Cell_1154	467	467
Cell_1155	Cell_1155	457	457
Cell_1156	Cell_1156	457	457
Cell_1157	Cell_1157	463	463
Cell_1158	Cell_1158	473	473
Cell_1159	Cell_1159	461	461
Cell_1160	Cell_1160	438	438
Cell_1161	Cell_1161	465	465
Cell_1162	Cell_1162	449	449
Cell_1163	Cell_1163	444	444
Cell_1164	Cell_1164	430	430
Cell_1165	Cell_1165	484	484
Cell_1166	Cell_1166	475	475
Cell_1167	Cell_1167	458	458
Cell_1168	Cell_1168	464	464
Cell_1169	Cell_1169	459	459
Cell_1170	Cell_1170	469	469
Cell_1171	Cell_1171	453	453
Cell_1172	Cell_1172	429	429
Cell_1173	Cell_1173	475	475
Cell_1174	Cell_1174	489	489
Cell_1175	Cell_1175	461	461
Cell_1176	Cell_1176	466	466
Cell_1177	Cell_1177	440	440
Cell_1178	Cell_1178	472	472
Cell_1179	Cell_1179	474	474
Cell_1180	Cell_1180	467	467
Cell_1181	Cell_1181	426	426
Cell_1182	Cell_1182	493	493
Cell_1183	Cell_1183	486	486
Cell_1184	Cell_1184	471	471
Cell_1185	Cell_1185	448	448
Cell_1186	Cell_1186	481	481
Cell_1187	Cell_1187	476	476
Cell_1188	Cell_1188	426	426
Cell_1189	Cell_1189	451	451
Cell_1190	Cell_1190	499	499
Cell_1191	Cell_1191	453	453
Cell_1192	Cell_1192	487	487
Cell_1193	Cell_1193	458	458
Cell_1194	Cell_1194	473	473
Cell_1195	Cell_1195	447	447
Cell_1196	Cell_1196	463	463
Cell_1197	Cell_1197	489	489
Cell_1198	Cell_1198	488	488
Cell_1199	Cell_1199	473	473
Cell_1200	Cell_1200	482	482
Cell_1201	Cell_1201	486	486
Cell_1202	Cell_1202	464	464
Cell_1203	Cell_1203	461	461
Cell_1204	Cell_1204	451	451
Cell_1205	Cell_1205	482	482
Cell_1206	Cell_1206	444	444
Cell_1207	Cell_1207	446	446
Cell_1208	Cell_1208	479	479
Cell_1209	Cell_1209	486	486
Cell_1210	Cell_1210	482	482
Cell_1211	Cell_1211	457	457
Cell_1212	Cell_1212	455	455
Cell_1213	Cell_1213	440	440
Cell_1214	Cell_1214	479	479
Cell_1215	Cell_1215	489	489
Cell_1216	Cell_1216	475	475
Cell_1217	Cell_1217	475	475
Cell_1218	Cell_1218	451	451
Cell_1219	Cell_1219	458	458
Cell_1220	Cell_1220	466	466
Cell_1221	Cell_1221	473	473
Cell_1222	Cell_1222	509	509
Cell_1223	Cell_1223	468	468
Cell_1224	Cell_1224	458	458
Cell_1225	Cell_1225	454	454
Cell_1226	Cell_1226	463	463
Cell_1227	Cell_1227	485	485
Cell_1228	Cell_1228	440	440
Cell_1229	Cell_1229	462	462
Cell_1230	Cell_1230	471	471
Cell_1231	Cell_1231	489	489
Cell_1232	Cell_1232	491	491
Cell_1233	Cell_1233	486	486
Cell_1234	Cell_1234	452	452
Cell_1235	Cell_1235	505	505
Cell_1236	Cell_1236	465	465
Cell_1237	Cell_1237	469	469
Cell_1238	Cell_1238	468	468
Cell_1239	Cell_1239	482	482
Cell_1240	Cell_1240	470	470
Cell_1241	Cell_1241	472	472
Cell_1242	Cell_1242	447	447
Cell_1243	Cell_1243	489	489
Cell_1244	Cell_1244	445	445
Cell_1245	Cell_1245	458	458
Cell_1246	Cell_1246	481	481
Cell_1247	Cell_1247	478	478
Cell_1248	Cell_1248	454	454
Cell_1249	Cell_1249	421	421
Cell_1250	Cell_1250	468	468
Cell_1251	Cell_1251	463	463
Cell_1252	Cell_1252	475	475
Cell_1253	Cell_1253	471	471
Cell_1254	Cell_1254	457	457
Cell_1255	Cell_1255	449	449
Cell_1256	Cell_1256	471	471
Cell_1257	Cell_1257	464	464
Cell_1258	Cell_1258	433	433
Cell_1259	Cell_1259	504	504
Cell_1260	Cell_1260	475	475
Cell_1261	Cell_1261	469	469
Cell_1262	Cell_1262	482	482
Cell_1263	Cell_1263	429	429
Cell_1264	Cell_1264	490	490
Cell_1265	Cell_1265	475	475
Cell_1266	Cell_1266	455	455
Cell_1267	Cell_1267	464	464
Cell_1268	Cell_1268	476	476
Cell_1269	Cell_1269	483	483
Cell_1270	Cell_1270	464	464
Cell_1271	Cell_1271	470	470
Cell_1272	Cell_1272	469	469
Cell_1273	Cell_1273	449	449
Cell_1274	Cell_1274	472	472
Cell_1275	Cell_1275	469	469
Cell_1276	Cell_1276	496	496
Cell_1277	Cell_1277	506	506
Cell_1278	Cell_1278	474	474
Cell_1279	Cell_1279	461	461
Cell_1280	Cell_1280	482	482
Cell_1281	Cell_1281	480	480
Cell_1282	Cell_1282	470	470
Cell_1283	Cell_1283	448	448
Cell_1284	Cell_1284	440	440
Cell_1285	Cell_1285	458	458
Cell_1286	Cell_1286	451	451
Cell_1287	Cell_1287	459	459
Cell_1288	Cell_1288	470	470
Cell_1289	Cell_1289	457	457
Cell_1290	Cell_1290	480	480
Cell_1291	Cell_1291	472	472
Cell_1292	Cell_1292	479	479
Cell_1293	Cell_1293	432	432
Cell_1294	Cell_1294	462	462
Cell_1295	Cell_1295	463	463
Cell_1296	Cell_1296	460	460
Cell_1297	Cell_1297	461	461
Cell_1298	Cell_1298	501	501
Cell_1299	Cell_1299	476	476
Cell_1300	Cell_1300	467	467
Cell_1301	Cell_1301	459	459
Cell_1302	Cell_1302	467	467
Cell_1303	Cell_1303	438	438
Cell_1304	Cell_1304	474	474
Cell_1305	Cell_1305	471	471
Cell_1306	Cell_1306	481	481
Cell_1307	Cell_1307	481	481
Cell_1308	Cell_1308	442	442
Cell_1309	Cell_1309	457	457
Cell_1310	Cell_1310	436	436
Cell_1311	Cell_1311	467	467
Cell_1312	Cell_1312	460	460
Cell_1313	Cell_1313	481	481
Cell_1314	Cell_1314	474	474
Cell_1315	Cell_1315	495	495
Cell_1316	Cell_1316	444	444
Cell_1317	Cell_1317	464	464
Cell_1318	Cell_1318	480	480
Cell_1319	Cell_1319	469	469
Cell_1320	Cell_1320	445	445
Cell_1321	Cell_1321	460	460
Cell_1322	Cell_1322	473	473
Cell_1323	Cell_1323	468	468
Cell_1324	Cell_1324	455	455
Cell_1325	Cell_1325	466	466
Cell_1326	Cell_1326	474	474
Cell_1327	Cell_1327	457	457
Cell_1328	Cell_1328	440	440
Cell_1329	Cell_1329	450	450
Cell_1330	Cell_1330	491	491
Cell_1331	Cell_1331	447	447
Cell_1332	Cell_1332	482	482
Cell_1333	Cell_1333	448	448
Cell_1334	Cell_1334	448	448
Cell_1335	Cell_1335	468	468
Cell_1336	Cell_1336	473	473
Cell_1337	Cell_1337	452	452
Cell_1338	Cell_1338	468	468
Cell_1339	Cell_1339	464	464
Cell_1340	Cell_1340	503	503
Cell_1341	Cell_1341	432	432
Cell_1342	Cell_1342	476	476
Cell_1343	Cell_1343	496	496
Cell_1344	Cell_1344	456	456
Cell_1345	Cell_1345	483	483
Cell_1346	Cell_1346	455	455
Cell_1347	Cell_1347	470	470
Cell_1348	Cell_1348	417	417
Cell_1349	Cell_1349	454	454
Cell_1350	Cell_1350	489	489
Cell_1351	Cell_1351	435	435
Cell_1352	Cell_1352	483	483
Cell_1353	Cell_1353	461	461
Cell_1354	Cell_1354	467	467
Cell_1355	Cell_1355	460	460
Cell_1356	Cell_1356	453	453
Cell_1357	Cell_1357	463	463
Cell_1358	Cell_1358	475	475
Cell_1359	Cell_1359	452	452
Cell_1360	Cell_1360	507	507
Cell_1361	Cell_1361	469	469
Cell_1362	Cell_1362	463	463
Cell_1363	Cell_1363	474	474
Cell_1364	Cell_1364	459	459
Cell_1365	Cell_1365	455	455
Cell_1366	Cell_1366	466	466
Cell_1367	Cell_1367	454	454
Cell_1368	Cell_1368	444	444
Cell_1369	Cell_1369	456	456
Cell_1370	Cell_1370	482	482
Cell_1371	Cell_1371	488	488
Cell_1372	Cell_1372	479	479
Cell_1373	Cell_1373	459	459
Cell_1374	Cell_1374	464	464
Cell_1375	Cell_1375	459	459
Cell_1376	Cell_1376	459	459
Cell_1377	Cell_1377	451	451
Cell_1378	Cell_1378	469	469
Cell_1379	Cell_1379	513	513
Cell_1380	Cell_1380	456	456
Cell_1381	Cell_1381	469	469
Cell_1382	Cell_1382	456	456
Cell_1383	Cell_1383	496	496
Cell_1384	Cell_1384	443	443
Cell_1385	Cell_1385	482	482
Cell_1386	Cell_1386	474	474
Cell_1387	Cell_1387	452	452
Cell_1388	Cell_1388	493	493
Cell_1389	Cell_1389	436	436
Cell_1390	Cell_1390	487	487
Cell_1391	Cell_1391	459	459
Cell_1392	Cell_1392	443	443
Cell_1393	Cell_1393	482	482
Cell_1394	Cell_1394	435	435
Cell_1395	Cell_1395	442	442
Cell_1396	Cell_1396	464	464
Cell_1397	Cell_1397	430	430
Cell_1398	Cell_1398	473	473
Cell_1399	Cell_1399	454	454
Cell_1400	Cell_1400	466	466
Cell_1401	Cell_1401	447	447
Cell_1402	Cell_1402	469	469
Cell_1403	Cell_1403	473	473
Cell_1404	Cell_1404	474	474
Cell_1405	Cell_1405	487	487
Cell_1406	Cell_1406	487	487
Cell_1407	Cell_1407	509	509
Cell_1408	Cell_1408	456	456
Cell_1409	Cell_1409	489	489
Cell_1410	Cell_1410	464	464
Cell_1411	Cell_1411	406	406
Cell_1412	Cell_1412	472	472
Cell_1413	Cell_1413	494	494
Cell_1414	Cell_1414	482	482
Cell_1415	Cell_1415	450	450
Cell_1416	Cell_1416	460	460
Cell_1417	Cell_1417	461	461
Cell_1418	Cell_1418	478	478
Cell_1419	Cell_1419	472	472
Cell_1420	Cell_1420	434	434
Cell_1421	Cell_1421	479	479
Cell_1422	Cell_1422	482	482
Cell_1423	Cell_1423	463	463
Cell_1424	Cell_1424	460	460
Cell_1425	Cell_1425	434	434
Cell_1426	Cell_1426	446	446
Cell_1427	Cell_1427	467	467
Cell_1428	Cell_1428	436	436
Cell_1429	Cell_1429	448	448
Cell_1430	Cell_1430	484	484
Cell_1431	Cell_1431	470	470
Cell_1432	Cell_1432	485	485
Cell_1433	Cell_1433	450	450
Cell_1434	Cell_1434	451	451
Cell_1435	Cell_1435	477	477
Cell_1436	Cell_1436	450	450
Cell_1437	Cell_1437	491	491
Cell_1438	Cell_1438	504	504
Cell_1439	Cell_1439	471	471
Cell_1440	Cell_1440	461	461
Cell_1441	Cell_1441	459	459
Cell_1442	Cell_1442	479	479
Cell_1443	Cell_1443	454	454
Cell_1444	Cell_1444	474	474
Cell_1445	Cell_1445	459	459
Cell_1446	Cell_1446	463	463
Cell_1447	Cell_1447	480	480
Cell_1448	Cell_1448	475	475
Cell_1449	Cell_1449	485	485
Cell_1450	Cell_1450	473	473
Cell_1451	Cell_1451	475	475
Cell_1452	Cell_1452	443	443
Cell_1453	Cell_1453	485	485
Cell_1454	Cell_1454	436	436
Cell_1455	Cell_1455	448	448
Cell_1456	Cell_1456	486	486
Cell_1457	Cell_1457	486	486
Cell_1458	Cell_1458	486	486
Cell_1459	Cell_1459	454	454
Cell_1460	Cell_1460	476	476
Cell_1461	Cell_1461	475	475
Cell_1462	Cell_1462	477	477
Cell_1463	Cell_1463	499	499
Cell_1464	Cell_1464	458	458
Cell_1465	Cell_1465	476	476
Cell_1466	Cell_1466	453	453
Cell_1467	Cell_1467	487	487
Cell_1468	Cell_1468	490	490
Cell_1469	Cell_1469	475	475
Cell_1470	Cell_1470	454	454
Cell_1471	Cell_1471	485	485
Cell_1472	Cell_1472	488	488
Cell_1473	Cell_1473	432	432
Cell_1474	Cell_1474	441	441
Cell_1475	Cell_1475	496	496
Cell_1476	Cell_1476	409	409
Cell_1477	Cell_1477	470	470
Cell_1478	Cell_1478	482	482
Cell_1479	Cell_1479	429	429
Cell_1480	Cell_1480	452	452
Cell_1481	Cell_1481	516	516
Cell_1482	Cell_1482	485	485
Cell_1483	Cell_1483	445	445
Cell_1484	Cell_1484	489	489
Cell_1485	Cell_1485	462	462
Cell_1486	Cell_1486	483	483
Cell_1487	Cell_1487	460	460
Cell_1488	Cell_1488	494	494
Cell_1489	Cell_1489	485	485
Cell_1490	Cell_1490	458	458
Cell_1491	Cell_1491	469	469
Cell_1492	Cell_1492	488	488
Cell_1493	Cell_1493	448	448
Cell_1494	Cell_1494	465	465
Cell_1495	Cell_1495	472	472
Cell_1496	Cell_1496	479	479
Cell_1497	Cell_1497	486	486
Cell_1498	Cell_1498	476	476
Cell_1499	Cell_1499	478	478
Cell_1500	Cell_1500	480	480
Cell_1501	Cell_1501	478	478
Cell_1502	Cell_1502	435	435
Cell_1503	Cell_1503	450	450
Cell_1504	Cell_1504	484	484
Cell_1505	Cell_1505	472	472
Cell_1506	Cell_1506	465	465
Cell_1507	Cell_1507	481	481
Cell_1508	Cell_1508	501	501
Cell_1509	Cell_1509	469	469
Cell_1510	Cell_1510	441	441
Cell_1511	Cell_1511	456	456
Cell_1512	Cell_1512	448	448
Cell_1513	Cell_1513	465	465
Cell_1514	Cell_1514	463	463
Cell_1515	Cell_1515	504	504
Cell_1516	Cell_1516	466	466
Cell_1517	Cell_1517	481	481
Cell_1518	Cell_1518	462	462
Cell_1519	Cell_1519	469	469
Cell_1520	Cell_1520	467	467
Cell_1521	Cell_1521	494	494
Cell_1522	Cell_1522	449	449
Cell_1523	Cell_1523	471	471
Cell_1524	Cell_1524	466	466
Cell_1525	Cell_1525	497	497
Cell_1526	Cell_1526	459	459
Cell_1527	Cell_1527	454	454
Cell_1528	Cell_1528	462	462
Cell_1529	Cell_1529	456	456
Cell_1530	Cell_1530	481	481
Cell_1531	Cell_1531	462	462
Cell_1532	Cell_1532	462	462
Cell_1533	Cell_1533	492	492
Cell_1534	Cell_1534	449	449
Cell_1535	Cell_1535	439	439
Cell_1536	Cell_1536	477	477
Cell_1537	Cell_1537	469	469
Cell_1538	Cell_1538	460	460
Cell_1539	Cell_1539	452	452
Cell_1540	Cell_1540	434	434
Cell_1541	Cell_1541	469	469
Cell_1542	Cell_1542	477	477
Cell_1543	Cell_1543	478	478
Cell_1544	Cell_1544	458	458
Cell_1545	Cell_1545	475	475
Cell_1546	Cell_1546	460	460
Cell_1547	Cell_1547	454	454
Cell_1548	Cell_1548	485	485
Cell_1549	Cell_1549	447	447
Cell_1550	Cell_1550	477	477
